work_school_address,emp_naics_11,emp_naics_21,emp_naics_23,emp_naics_72,emp_naics_92,emp_naics_48-49,emp_naics_52,emp_naics_61,emp_naics_62,emp_naics_81,emp_total
59,7.0,12.0,8.0,22.0,4.0,7.0,2.0,2.0,1.0,78.0,143.0
60,2.0,11.0,11.0,4.0,5.0,8.0,3.0,1.0,5.0,103.0,153.0
61,0.0,16.0,24.0,14.0,1.0,9.0,3.0,2.0,9.0,69.0,147.0
62,7.0,13.0,6.0,21.0,11.0,6.0,4.0,10.0,7.0,72.0,157.0
63,2.0,20.0,12.0,3.0,3.0,7.0,2.0,4.0,4.0,61.0,118.0
64,1.0,15.0,7.0,6.0,5.0,4.0,1.0,1.0,3.0,48.0,91.0
65,18.0,6.0,5.0,8.0,4.0,2.0,0.0,2.0,0.0,29.0,74.0
66,0.0,1.0,4.0,2.0,0.0,3.0,1.0,3.0,1.0,28.0,43.0
67,3.0,6.0,2.0,5.0,0.0,6.0,1.0,2.0,1.0,58.0,84.0
68,5.0,21.0,9.0,20.0,1.0,15.0,5.0,1.0,5.0,77.0,159.0
69,1.0,1.0,5.0,1.0,0.0,0.0,6.0,0.0,1.0,30.0,45.0
70,2.0,7.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,39.0,55.0
71,3.0,5.0,4.0,1.0,1.0,1.0,0.0,3.0,5.0,25.0,48.0
72,11.0,15.0,9.0,3.0,1.0,4.0,2.0,5.0,4.0,71.0,125.0
73,17.0,1.0,2.0,6.0,0.0,8.0,1.0,2.0,2.0,13.0,52.0
74,0.0,5.0,0.0,2.0,6.0,4.0,4.0,5.0,5.0,38.0,69.0
75,7.0,8.0,5.0,14.0,6.0,12.0,4.0,3.0,10.0,46.0,115.0
76,2.0,9.0,2.0,4.0,2.0,6.0,3.0,3.0,4.0,34.0,69.0
77,0.0,1.0,4.0,7.0,3.0,6.0,2.0,7.0,2.0,24.0,56.0
78,1.0,7.0,0.0,14.0,2.0,7.0,1.0,3.0,3.0,18.0,56.0
79,0.0,0.0,2.0,9.0,1.0,0.0,4.0,0.0,7.0,19.0,42.0
80,1.0,3.0,2.0,11.0,2.0,5.0,2.0,2.0,0.0,13.0,41.0
81,0.0,16.0,16.0,23.0,13.0,8.0,20.0,10.0,20.0,57.0,183.0
82,3.0,7.0,4.0,13.0,5.0,6.0,7.0,4.0,2.0,37.0,88.0
83,3.0,8.0,14.0,6.0,13.0,16.0,17.0,15.0,12.0,18.0,122.0
84,4.0,7.0,7.0,15.0,1.0,9.0,12.0,7.0,14.0,38.0,114.0
85,0.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,31.0,40.0
86,0.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,12.0,24.0
87,1.0,8.0,3.0,8.0,2.0,2.0,3.0,2.0,3.0,45.0,77.0
88,7.0,13.0,2.0,17.0,2.0,4.0,3.0,2.0,3.0,38.0,91.0
89,0.0,8.0,2.0,2.0,4.0,4.0,2.0,4.0,0.0,59.0,85.0
90,3.0,11.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,14.0,37.0
91,0.0,5.0,5.0,3.0,2.0,3.0,0.0,3.0,2.0,23.0,46.0
92,2.0,9.0,2.0,7.0,6.0,3.0,3.0,5.0,0.0,29.0,66.0
93,0.0,3.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,27.0,39.0
94,0.0,5.0,2.0,5.0,1.0,3.0,2.0,1.0,2.0,35.0,56.0
95,1.0,5.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,33.0,47.0
96,0.0,5.0,4.0,12.0,1.0,1.0,5.0,4.0,8.0,28.0,68.0
97,0.0,10.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,35.0,51.0
98,14.0,25.0,16.0,29.0,7.0,7.0,14.0,15.0,27.0,71.0,225.0
99,9.0,37.0,20.0,35.0,7.0,12.0,7.0,6.0,8.0,89.0,230.0
100,3.0,30.0,8.0,23.0,13.0,11.0,6.0,22.0,3.0,89.0,208.0
101,8.0,15.0,16.0,21.0,8.0,3.0,6.0,6.0,9.0,60.0,152.0
102,14.0,65.0,32.0,18.0,25.0,18.0,10.0,15.0,4.0,214.0,415.0
103,5.0,34.0,9.0,63.0,1.0,17.0,3.0,10.0,2.0,77.0,221.0
104,0.0,7.0,0.0,12.0,1.0,3.0,0.0,5.0,3.0,37.0,68.0
105,7.0,18.0,18.0,20.0,5.0,10.0,5.0,8.0,5.0,78.0,174.0
106,5.0,13.0,14.0,18.0,1.0,12.0,10.0,10.0,10.0,90.0,183.0
107,7.0,18.0,15.0,17.0,2.0,8.0,7.0,9.0,6.0,95.0,184.0
108,12.0,21.0,33.0,28.0,10.0,20.0,10.0,13.0,32.0,80.0,259.0
109,9.0,22.0,41.0,27.0,9.0,32.0,14.0,9.0,7.0,97.0,267.0
110,2.0,14.0,11.0,9.0,1.0,5.0,2.0,1.0,5.0,36.0,86.0
111,13.0,20.0,11.0,26.0,4.0,23.0,10.0,10.0,11.0,71.0,199.0
112,3.0,24.0,31.0,29.0,1.0,17.0,17.0,22.0,4.0,120.0,268.0
113,3.0,10.0,10.0,14.0,2.0,2.0,2.0,3.0,6.0,61.0,113.0
114,4.0,31.0,22.0,40.0,19.0,65.0,18.0,5.0,12.0,150.0,366.0
115,1.0,17.0,6.0,9.0,0.0,10.0,2.0,2.0,3.0,61.0,111.0
116,1.0,38.0,18.0,46.0,12.0,42.0,29.0,15.0,12.0,118.0,331.0
117,6.0,45.0,15.0,60.0,7.0,22.0,32.0,7.0,14.0,118.0,326.0
118,25.0,33.0,13.0,51.0,1.0,14.0,3.0,3.0,4.0,62.0,209.0
