id,Residential Access,Employment Access,Education Access,Healthcare Access,lon,lat,id
366367233,102735.97117599891,533438.0455270632,0.0,0.0,106.7097014,10.7711099,366367233
366367342,352210.58958731213,1313267.6556599438,167353.7354803128,7308.480027475498,106.7062937,10.7647028,366367342
366368313,106081.15902664841,3896139.36433233,18440.676763415373,2707.3311109406673,106.6841546,10.7546231,366368313
366369352,491867.0416531165,406819.18542861415,113923.75223028412,1410.7229018220662,106.70795,10.75623,366369352
366370535,169648.9217729281,236641.87456143223,100951.31487419593,253.2485984053216,106.7182533,10.7568169,366370535
366372405,168426.63380104263,96159.6313799102,7447.264959657479,2923.368767989259,106.6940276,10.7516447,366372405
366374994,13514.461247323556,1083027.0022070277,0.0,0.0,106.7141386,10.7641961,366374994
366378475,210316.3069937413,1684854.8555402076,67222.8892093501,185.8532897644001,106.6995425,10.7543226,366378475
366378659,96150.08443058068,1379936.4366364998,14416.842342775622,2461.027500323398,106.6842732,10.7538468,366378659
366380708,477598.5887980855,362314.107018228,130460.28657617776,938.3122723341163,106.7091793,10.7555081,366380708
366380758,385600.0966436723,1685536.4844971576,241980.5531613888,18903.368513653375,106.703642,10.7674541,366380758
366381001,433357.73784728,1664444.571399215,152135.38391144347,6478.307008077754,106.7018856,10.7619609,366381001
366381209,169513.027478637,96136.64160157253,7489.91969965598,3140.6185257887805,106.6946553,10.7517068,366381209
366382203,191116.81797965945,119320.20837102218,6297.826742290566,3059.2581884250108,106.6986141,10.7517206,366382203
366383255,156723.94570516964,77705.9327523152,34613.96818701389,1899.4784633664915,106.7172775,10.7487316,366383255
366383425,190555.22185427498,267701.1154132293,112326.01882576504,478.37736398130664,106.717736,10.7571329,366383425
366383749,282331.9243267212,467684.3230428456,141568.85693710466,2638.5557247966335,106.7128206,10.7598635,366383749
366383803,390861.8163337247,1308865.8054415085,168667.24156960464,7849.980998671238,106.7020981,10.7632808,366383803
366386216,201371.06532358952,1006860.1633773558,105455.70587702128,4680.765045796816,106.7086437,10.7653137,366386216
366388248,172517.87950120974,101184.02367250147,37398.857664269,2202.4672547537625,106.7168472,10.7493524,366388248
366388361,183475.71303524388,106566.04935875995,9631.446521417649,934.9617383968706,106.7050119,10.7517869,366388361
366388784,171898.7115503056,145147.57635859845,40095.368112303724,1973.4701434930166,106.7176812,10.7493575,366388784
366391993,154165.88388275233,108891.93140229955,37197.256873365404,1646.4978757591534,106.7181586,10.7487323,366391993
366398155,407779.11248293426,1162098.601977181,147017.58740581953,7378.569446773225,106.7064484,10.7629875,366398155
366401015,119261.22437824552,352176.32109806157,83068.10871938427,1654.2202971877177,106.7144153,10.7608356,366401015
366401128,179921.91006114284,237984.0526094446,31962.00668839554,776.1584264895444,106.6891438,10.7547912,366401128
366401257,404479.332366621,1504924.1437043976,151143.77952059943,6754.381515031886,106.7016445,10.7623639,366401257
366401462,199381.5396050645,140925.85721549045,43033.93917716453,2786.563458836443,106.7158567,10.7504462,366401462
366402244,174869.52598078133,121809.83091386293,32562.792246869096,2625.4235425849756,106.7136893,10.7518533,366402244
366404448,378902.7786466102,1200803.6832668406,192409.79978849244,8682.951774012934,106.7013583,10.7641409,366404448
366404499,135756.44351049134,809130.5209371439,80502.4068773027,3639.8161867285526,106.7095241,10.7642413,366404499
366404537,305084.0778099686,1522323.3716714496,177969.76258820016,6493.354367342678,106.7064231,10.7667788,366404537
366404688,172581.54387742953,93386.7851592649,36124.0526949234,2324.9544473906144,106.7164002,10.7493528,366404688
366407711,102161.24421563822,520652.12794137094,0.0,0.0,106.7099185,10.7714691,366407711
366408252,330506.59145771834,2085266.729144643,110439.94786533447,2744.491934634929,106.6985617,10.7596225,366408252
366408843,204854.4114982823,492919.70478396973,52975.43936166474,1943.1315642686907,106.7195904,10.75316,366408843
366410196,367842.10098271456,1243839.6617088758,213071.30877917245,10008.83415189224,106.7022746,10.7658008,366410196
366411937,475094.80133000773,472998.7340525697,85025.651654144,2126.5164635460715,106.7065758,10.7582321,366411937
366412572,103970.44486852267,471113.1469237619,44262.93159317296,294.71603865274835,106.7188494,10.7566655,366412572
366413639,412490.047671275,1338900.4736186014,193593.85753588116,7896.928594753925,106.7053554,10.7643176,366413639
366413827,324600.9193655611,1551922.7287090314,183302.37740691548,7034.672850748879,106.7055861,10.7663629,366413827
366414310,476857.5963804775,869191.7258587948,79528.004187236,1177.3100044000914,106.7060276,10.756148,366414310
366414596,356670.5627962797,2413895.177099254,95305.48715257978,963.7661672284974,106.6997448,10.7580171,366414596
366414667,447975.1087542037,337179.9719432579,149205.08006925177,1360.9476895010243,106.7098029,10.7565457,366414667
366416132,199353.07349936516,377430.3578784989,48382.50023989129,2323.32646046395,106.7181379,10.7522541,366416132
366417172,10730.127998655138,1278611.6093446284,0.0,0.0,106.7144245,10.7640374,366417172
366417525,66950.38308415709,79201.2489037921,4484.791757330047,1162.870882617184,106.6842957,10.7496554,366417525
366419012,385049.2230424954,1603979.5384510157,215146.4051099161,9919.891398019954,106.7046365,10.7659002,366419012
366420050,434669.9651918212,1541483.2574394227,128233.04726159238,5807.823453747543,106.7028227,10.7612366,366420050
366421302,230928.9947475647,441902.32812200196,125235.12880044674,2371.3871986894515,106.7131484,10.7604373,366421302
366422023,469669.2685799132,665888.5715740103,103467.57998349449,4392.42506180804,106.7070748,10.7599421,366422023
366422333,178998.50070163427,106005.7520666475,8910.232853145062,1357.8103250517818,106.7035544,10.7517777,366422333
366422916,235327.3286609641,545142.3295547037,63834.39081317174,213.75288067025647,106.6952956,10.7533608,366422916
